# SYNTHETIC FIXTURE - NOT A TRADINGVIEW EXPORT.
# Generated by this repository from committed vendor bars (CME_MINI:NQ1! daily) to
# prove the import + fill-benchmark code path. Row 99 is deliberately invalid.
# Prices are the next bar's open rounded to a 0.25 tick, with one deliberate +0.5 offset.
Trade #,Type,Date/Time,Signal,Price,Contracts,Profit,Cumulative Profit,Run-Up,Draw-Down,Symbol
1,Entry Long,2026-06-26,Buy,29742.00,2,,,,,CME_MINI:NQ1!
2,Exit Long,2026-07-01,Close,30505.75,2,1527.50,1527.50,12.50,-8.75,CME_MINI:NQ1!
3,Entry Long,2026-07-08,Buy,29373.75,2,,,,,CME_MINI:NQ1!
4,Exit Long,2026-07-13,Close,29952.00,2,1156.50,2684.00,12.50,-8.75,CME_MINI:NQ1!
5,Entry Short,2026-07-20,Sell,28747.75,2,,,,,CME_MINI:NQ1!
6,Exit Short,2026-07-23,Close,29100.50,2,-705.50,1978.50,12.50,-8.75,CME_MINI:NQ1!
7,Entry Long,2026-07-29,Buy,27962.00,2,,,,,CME_MINI:NQ1!
8,Exit Long,2026-08-03,Close,28565.00,2,1206.00,3184.50,12.50,-8.75,CME_MINI:NQ1!
9,Entry Long,2026-08-10,Buy,29851.25,2,,,,,CME_MINI:NQ1!
10,Exit Long,2026-08-13,Close,29825.00,2,-52.50,3132.00,12.50,-8.75,CME_MINI:NQ1!
11,Entry Short,2026-08-20,Sell,29561.50,2,,,,,CME_MINI:NQ1!
12,Exit Short,2026-08-25,Close,29140.50,2,842.00,3974.00,12.50,-8.75,CME_MINI:NQ1!
99,Entry Long,2026-09-02,Buy,0.00,2,,,,,CME_MINI:NQ1!
